anchorage_id,anchorage_name,anchorage_sublabel,lat,lon,total_visits,top_destination,iso3,distance_from_shore_m,dock
8c4023df,LE MARIN,NA,14.4520986908555,-60.885120498284756,46,MARTINIQUE,MTQ,0,TRUE
8c4023dd,LE MARIN,NA,14.449734801897886,-60.88655885627533,81,PAPEETE,MTQ,0,TRUE
8c402149,LE MARIN,NA,14.46978486366265,-60.86741381181235,465,CRGY,MTQ,0,TRUE
8c40214d,LE MARIN,NA,14.468038044020044,-60.865809353199765,3632,SAINTE LUCIE MARIN,MTQ,0,TRUE
8c40214f,LE MARIN,NA,14.467875925533825,-60.86830541643145,3896,MARTINIQUE,MTQ,0,TRUE
8c402145,LE MARIN,NA,14.4672489322431,-60.87462901840124,1325,AYSIA,MTQ,0,TRUE
8c4023e1,LE MARIN,NA,14.453676996380535,-60.88102088583767,140,LE MARIN,MTQ,0,TRUE
8c402159,LE MARIN,NA,14.458278960936827,-60.87608478471129,389,MARTINIQUE,MTQ,0,TRUE
8c40215f,LE MARIN,NA,14.4570644268851,-60.88017756859748,185,LE MARIN,MTQ,0,FALSE
8c4023c3,LE MARIN,NA,14.441614681354498,-60.8859322326589,952,AND,MTQ,0,FALSE
8c4023e9,LE MARIN,NA,14.441006055022273,-60.88349161339024,138,AND,MTQ,0,TRUE
